clear,score,Label
daftar tungu kode otp kunjung respon masuk hari notif email,1,Negatif
aplikasi,1,Negatif
rute padat arah terminal purabaya selisih berangkat armada mohon perhati karena selisihjya jam jam muter perak tungu lama arah perak buat jalur sendiri integrasi jalur lain dl muter rajawali bagus tungu makslimal menit an,2,Negatif
nyesel daftar member apk nya ribet guna tungu verivikasi email mingu muncul kode otp nya akibat pakai apk nya download ulang ,1,Negatif
eror nge bug imbas history jalan eror,2,Negatif
bus genpark arah purbaya jam banget tungu jam pakai gojek jmp bus jmp purbaya,1,Negatif
jadwal jam sih takut telat kalo,1,Negatif
ga bayar isi saldo,1,Negatif
sisa kapasitas tera aplikasi sesuai real time,3,Negatif
tolong update fitur nilai kemudi banget nungu halte tpi drivernya henti lapor desember bus sb henti nungu lama tolong tindak lanjut ,2,Negatif
scan tumpang halte tulis marka henti bus tau tumpang naik krn wirawiri henti halte halte lampu gelap driver kernet liat ,3,Negatif
wirawiri nya buru buru banget tungu halte wirawiri nya henti isi ful ,1,Negatif
please aplikasi baik eror muncul rute,1,Negatif
dwonlout iphone ya,5,Positif
aplikasi goblok cok dancok,1,Negatif
map bintang daftar gagsl mendspatkan otp nya daftar,2,Negatif
tolong baik jangan eror masa kadang track bus jalan si,4,Positif
kode otpnya ditunguin ngantuk,5,Positif
niat gae aplikasi seh wis bosok rute titik login gae nik lah ktp lah foto mentolo protes nak buk risma karo admine gerindra ben apikno gobiz mosok wirawiri isine titik ngene pengin gae dadine sido ero omahku iku dukuh pakis ayo kene serlok nasehat,1,Negatif
bis kosong henti halte simpang dukuh selasa nov tungu halte supirnya henti pura lihat,1,Negatif
sulit masuk akun tunjuk ,1,Negatif
mantab tambahin rute pasar malam kodam plis makasih ,5,Positif
aplikasi layak publikasi top up saldo via qris saldo aplikasi gob isi rekening bank debet dana top up masuk mana layan adu chat costumer care efektif efisien tau saldo orang masuk saya rugi konsumen ada niat ojk audit sistem bayar gob layak ini ,1,Negatif
parah layan feder wara wiri nya sopir kernet nya ngerekrut etika adab penuh henti konfirmasi penuh sistem sopir nya gaji oerbulan peduli urusa tumpang tungu kesal oenting mobil jalan gaji,1,Negatif
bis cegat nyelonong gatau tuh supir kernet sb november jam am supir kernet tolol bawa bis babi liar cegat nyelonong aja dasar supir kernet otak ,1,Negatif
s ,3,Negatif
orang lihat posisi bus diwajibin login baik,5,Positif
aplikasi updatenya baru mula keren,5,Positif
moga armada jarak angkut,4,Positif
login suruh login,1,Negatif
sih undang lihat bis feder mana suruh login mulu gilir login muncul tulis lokasi feder bis kerja bener berangkat kerja,1,Negatif
apk kumpul data pribadi sensitif nik foto tiati guys ,1,Negatif
paksa update login login akses ,1,Negatif
update track feder bus sign member update sign member pakai nik wajib foto ribet tolong kembali atur mudah kalo wajib member email cukup nik rawan disalahgunakan ,1,Negatif
segi layan transportasi nya bagus bantu jalan jauh cuman segi aplikasi nya kadang eror kadang lacak gpsnya tambah barcode aplikasi gobiz nya bayar mohon benah aplikasi nya isi saldo guna terimakasih ,3,Negatif
aplikasi sekali tingkat,1,Negatif
senang,5,Positif
mundur aplikasi gob rute daftar member isi nik alamat foto ribet bayang orang surabaya turis asing isi nik daftar login susah login langsung sinkron akun gogle isi macem inovasi mudah sok pintar bikin ruwet ,1,Negatif
apk iki,1,Negatif
aplikasi lot bgt muncul bis lokasi sesuai titik map ,1,Negatif
guna cek rute bis bis nya hilang an,1,Negatif
bantu,5,Positif
kali wira wiri jarak moda saja kes atur jarak moda lain mohon arah sopir nya,1,Negatif
senang minus nya update data tumpang zonk ,3,Negatif
kendala bayar tup up saldo pakai tolong baik singkronisasi data ambil gambar qrgobus singkron saldo topup guna layan baik tolong kendala aplikasi baik saldo belanja ,4,Positif
bantu tracking armada terkadang susah login hadeh,1,Negatif
ac puanas cok meding gak gae ac kocone buka ae ,1,Negatif
ditopup pakai bayar,1,Negatif
lanjur isi saldo balikinya ya mohon tunjuk,2,Negatif
